date,New cases,1st day prediction,2nd day,3rd day prediction,4th day prediction,5th day prediction,6th day prediction,7th day prediction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/5,8983,,,,,,,,,,,,,7118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/6,8307,,,,,,,,,,,,,6927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/7,7406,,,,,,,,,,,,,7053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/8,7886,,,,,,,,,,,,,5815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/9,6405,,,,,,,,,,,,,3075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/10,3332,,,,,,,,,,,,,,4908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/11,8329,,,,,,,,,,,,,,7208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/12,8443,,,,,,,,,,,,,,6368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/13,7074,,,,,,,,,,,,,,5896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/14,5874,,,,,,,,,,,,,,5732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/15,5747,,,,,,,,,,,,,,4627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/16,4273,,,,,,,,,,,,,,2347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/17,2383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/18,6170,,,,,,,,,,,,,,,5278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/19,6688,,,,,,,,,,,,,,,4341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/20,5711,,,,,,,,,,,,,,,3801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/21,5170,,,,,,,,,,,,,,,3617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/22,5336,,,,,,,,,,,,,,,2797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/23,4183,,,,,,,,,,,,,,,1393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/24,2295,,,,,,,,,,,,,,,3045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/25,5431,,,,,,,,,,,,,,,,5258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/26,5552,,,,,,,,,,,,,,,,4540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/27,4472,,,,,,,,,,,,,,,,4176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/28,3749,,,,,,,,,,,,,,,,4144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/29,2075,,,,,,,,,,,,,,,,3357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/30,2896,,,,,,,,,,,,,,,,1749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/1,1896,,,,,,,,,,,,,,,,4135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/2,3761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/3,2495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/4,2223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/5,2267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/6,4444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/7,4166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/8,2237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/9,4622,,,,,,,,,,,,,,,,,5727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/10,4562,,,,,,,,,,,,,,,,,5828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/11,3858,,,,,,,,,,,,,,,,,6332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/12,3584,,,,,,,,,,,,,,,,,7298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/13,3676,,,,,,,,,,,,,,,,,7637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/14,3070,,,,,,,,,,,,,,,,,4662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/15,1587,,,,,,,,,,,,,,,,,12194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/16,3993,,,,,,,,,,,,,,,,,,3856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/17,4362,,,,,,,,,,,,,,,,,,3151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/18,3579,,,,,,,,,,,,,,,,,,2896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/5/19,3407,,,,,,,,,,,,,,,,,,2971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
