date,Actual,20210205,20210209,20210216,20210225,20210303,20210309,20210316,20210323,20210330,20210406,20210413,20210420,20210427,20210504,20210511,20210518,20210525,20210601,20210608,20210615,20210622,20210629,20210706,20210713,20210720,20210727,20210803,20210810,20210817,20210824,20210831,20210914,20210928,20211012,20211102,20220118,20220125,20220208,20220215,20220222,20220301,20220308,20220315,20220322,20220405,20220413,20220419,20220426,20220511,20220522,20220621,20220707,20220713,20220720,20220725,20220802,20220809,20220816,20220829,20220917,20221003,20221110,20221207,20221220,20221226,20230109,20230123,20230210,20230227,20230318
2021/6/30,582,1023,1091,340,237,873,657,851,980,912,896,811,195,253,188,174,434,375,557,371,430,542,546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/7/7,734,998,1110,318,206,887,623,830,986,898,946,776,150,377,174,155,434,367,594,413,460,600,617,696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/7/14,1069,954,1111,292,175,884,589,794,917,879,998,749,244,492,169,145,443,373,641,468,499,665,703,838,971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/7/21,1463,892,1096,263,146,865,555,746,818,857,919,728,321,641,173,143,460,393,707,539,550,741,804,1005,1110,1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/7/28,3165,817,1063,232,119,829,525,687,719,830,874,706,422,839,186,148,487,427,799,630,611,833,919,1192,958,1830,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/8/4,4146,731,1016,200,95,779,498,620,623,799,827,685,558,1098,210,160,525,475,927,745,687,944,1046,1394,919,1624,2500,5004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/8/11,4403,640,955,169,74,717,465,549,532,764,778,662,739,1417,249,182,576,542,1104,891,780,1075,1178,1603,863,1608,2640,8982,5845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/8/18,4882,548,883,140,56,646,426,476,447,725,729,638,979,1808,309,217,644,596,1339,1075,901,1228,1323,1276,792,1560,2482,11457,7302,4732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/8/25,3878,458,803,113,42,570,382,404,371,683,678,680,1297,1030,369,248,731,651,1555,1278,1050,1370,1466,1135,988,1875,2426,9910,8006,4865,5289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/9/1,2561,373,718,89,31,493,336,336,302,638,628,702,1719,809,434,281,843,706,1797,1504,1229,1495,1583,987,1058,2032,2316,9069,7161,4961,5482,3139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/9/8,1388,297,631,69,22,417,289,273,246,592,577,724,2243,631,506,314,949,757,1382,1081,1414,1044,1249,838,1124,2165,2158,8071,6511,5505,5592,2991,1384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/9/15,819,231,546,52,15,345,243,217,198,546,528,749,2890,489,584,347,1058,799,1234,925,1606,855,1068,695,1178,2266,1964,6990,5751,5783,5513,3327,1291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/9/22,365,175,463,38,10,278,200,169,156,498,479,776,1512,376,667,381,1167,826,1096,777,1105,684,883,759,1217,2352,1758,5937,4999,5969,5744,3582,1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/9/29,207,129,386,27,7,220,160,129,121,450,432,809,1038,287,755,414,1273,842,971,648,917,535,835,719,1239,2410,1677,4929,4261,6025,6013,3828,1008,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/10/6,114,93,317,19,4,170,126,96,92,402,387,847,704,217,844,445,1375,852,854,533,750,408,725,670,1242,2437,1718,6170,5374,5943,5932,4036,892,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/10/13,59,65,255,13,3,128,96,69,69,355,345,892,473,183,932,473,1468,856,742,433,604,304,616,615,1224,2429,1638,6885,6071,5713,5728,4181,783,513,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/10/20,29,44,201,8,2,93,72,49,50,309,305,945,315,161,1016,497,1550,847,635,347,478,299,512,555,1187,2385,1531,7535,6730,7080,5373,4243,679,605,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/10/27,24,29,156,5,1,66,52,33,35,266,267,1007,208,147,1095,517,1618,824,532,274,373,249,415,492,1130,2305,1402,8064,7376,8166,4939,4242,586,724,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/11/3,20,18,119,3,1,46,37,22,25,225,232,1079,136,141,1169,531,1669,784,438,285,286,202,328,429,1057,2191,1257,8411,7955,9261,5819,4165,707,872,98,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/11/10,25,11,89,2,0,31,25,14,17,189,200,1160,188,140,1232,540,1702,736,430,260,290,160,252,367,969,2046,1105,8522,8418,10288,6333,4011,787,1054,111,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/11/17,17,7,65,1,0,21,17,9,11,155,170,1250,198,144,1283,544,1715,684,391,236,253,123,188,307,868,1876,954,8403,8758,11210,6786,3782,877,1276,129,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/11/24,14,4,46,1,0,13,11,6,7,126,143,1347,208,153,1317,541,1707,631,359,213,218,92,137,251,761,1682,808,8039,9025,12251,7333,3567,999,1574,156,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/12/1,16,2,32,0,0,8,7,3,4,100,119,1438,218,170,1334,531,1679,574,332,191,186,67,98,201,652,1475,670,7435,9169,13324,7929,4128,1159,1964,196,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/12/8,17,1,22,,0,5,4,2,3,78,98,817,229,180,1334,514,1631,511,307,171,157,47,70,158,545,1264,543,6627,9167,14386,8566,4606,1365,2474,254,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/12/15,24,1,15,,0,3,3,1,2,60,80,570,239,188,1319,493,1564,444,283,151,130,32,49,122,461,1076,451,6006,8998,15380,9229,5182,1632,3144,341,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/12/22,35,0,10,,0,2,1,1,1,46,65,394,249,194,1289,467,1481,380,259,133,106,22,33,97,395,939,377,5484,8656,16241,9895,5868,1976,4022,470,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/12/29,66,0,6,,0,1,1,0,1,34,51,271,258,198,1241,438,1385,322,235,115,85,14,23,78,337,812,316,5038,8187,16901,10537,3969,2418,5169,667,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/1/5,145,0,4,,0,1,1,0,0,25,40,184,261,198,1177,405,1279,272,215,97,68,10,16,62,287,702,267,4655,7815,17297,11120,3473,2986,6659,967,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
